date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:13:24	341/341	---MCZ	200	added ('OK')	text/plain	etag:W/%2234a-09YNk60pujtO/U/iJUAds7EXWPQ%22	https://www.irritime.com/robots.txt		(from )
11:13:24	1283995/1283995	---MCZ	200	added ('OK')	text/html	etag:W/%22eb2183d9c96c2cf6aecd96590f52eb80%22	https://www.irritime.com/	C:/My%20Web%20Sites/MiCopiaWeb/MiCopiaWeb/www.irritime.com/index.html	(from )
11:13:25	38411/38411	---M--	200	added ('OK')	image/png	date:Mon,%2028%20Jul%202025%2015:37:55%20GMT	https://static.wixstatic.com/media/d2bb1e_326b8ee672054dab85fc93183bacee60~mv2.png/v1/fill/w_192%2Ch_192%2Clg_1%2Cusm_0.66_1.00_0.01/d2bb1e_326b8ee672054dab85fc93183bacee60~mv2.png	C:/My%20Web%20Sites/MiCopiaWeb/MiCopiaWeb/static.wixstatic.com/media/d2bb1e_326b8ee672054dab85fc93183bacee60_mv2.png/v1/fill/w_192,h_192,lg_1,usm_0.66_1.00_0.01/d2bb1e_326b8ee672054dab85fc93183bacee60_mv2.png	(from https://www.irritime.com/)
11:13:25	3309/3309	---M--	200	added ('OK')	image/png	date:Mon,%2028%20Jul%202025%2015:37:56%20GMT	https://static.wixstatic.com/media/d2bb1e_326b8ee672054dab85fc93183bacee60~mv2.png/v1/fill/w_32%2Ch_32%2Clg_1%2Cusm_0.66_1.00_0.01/d2bb1e_326b8ee672054dab85fc93183bacee60~mv2.png	C:/My%20Web%20Sites/MiCopiaWeb/MiCopiaWeb/static.wixstatic.com/media/d2bb1e_326b8ee672054dab85fc93183bacee60_mv2.png/v1/fill/w_32,h_32,lg_1,usm_0.66_1.00_0.01/d2bb1e_326b8ee672054dab85fc93183bacee60_mv2.png	(from https://www.irritime.com/)
11:13:25	35703/35703	---M--	200	added ('OK')	image/png	date:Mon,%2028%20Jul%202025%2015:37:56%20GMT	https://static.wixstatic.com/media/d2bb1e_326b8ee672054dab85fc93183bacee60~mv2.png/v1/fill/w_180%2Ch_180%2Clg_1%2Cusm_0.66_1.00_0.01/d2bb1e_326b8ee672054dab85fc93183bacee60~mv2.png	C:/My%20Web%20Sites/MiCopiaWeb/MiCopiaWeb/static.wixstatic.com/media/d2bb1e_326b8ee672054dab85fc93183bacee60_mv2.png/v1/fill/w_180,h_180,lg_1,usm_0.66_1.00_0.01/d2bb1e_326b8ee672054dab85fc93183bacee60_mv2.png	(from https://www.irritime.com/)
11:13:26	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	C:/My%20Web%20Sites/MiCopiaWeb/MiCopiaWeb/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://www.irritime.com/)
11:13:26	1171/1171	---MCZ	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	C:/My%20Web%20Sites/MiCopiaWeb/MiCopiaWeb/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://www.irritime.com/)
11:13:27	2209/2209	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2028%20Jul%202025%2016:13:27%20GMT	https://www.irritime.com/c	C:/My%20Web%20Sites/MiCopiaWeb/MiCopiaWeb/www.irritime.com/c.5.delayed	(from https://www.irritime.com/)
11:13:27	2210/2210	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2028%20Jul%202025%2016:13:27%20GMT	https://www.irritime.com/t	C:/My%20Web%20Sites/MiCopiaWeb/MiCopiaWeb/www.irritime.com/t.6.delayed	(from https://www.irritime.com/)
11:13:27	84127/84127	---M--	200	added ('OK')	image/png	etag:%226522082f3c0c2b195b603ac272e124af%22	https://static.parastorage.com/services/editor-elements-library/dist/thunderbolt/media/ironpatern.84ec58ff.png	C:/My%20Web%20Sites/MiCopiaWeb/MiCopiaWeb/static.parastorage.com/services/editor-elements-library/dist/thunderbolt/media/ironpatern.84ec58ff.png	(from https://www.irritime.com/)
